transactionHash,fromAddress,fromLabel,fromIsContract,toAddress,toLabel,toIsContract,tokenAddress,type,blockTimestamp,blockNumber,blockHash,tokenName,tokenSymbol,tokenDecimals,unitValue,tokenId,historicalUSD,chain
0xd52bdc760028741745e672756c9280974172e42ea21a5f88c405d8287a78cc88,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Binance: Wrapped BNB (WBNB) (0xbb4),true,0x10ED43C718714eb63d5aA57B78B54704E256024E,PancakeSwap: Router v2 (0x10E),true,,,2026-06-28T16:12:19Z,106898968,0x6fedfdf7c77fb99acc4d0c6281d487f19a61d0d95c34b2469c50d40149154c73,BNB,BNB,18,0.1841892912285794,binancecoin,102.0003456965627,bsc
0xb6a6151fcedc0b72b9301426d0cebed38625f3fa664896146bef8d81095b32a7,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Binance: Wrapped BNB (WBNB) (0xbb4),true,0x10ED43C718714eb63d5aA57B78B54704E256024E,PancakeSwap: Router v2 (0x10E),true,,,2026-06-28T16:12:15Z,106898959,0x6839eee4c345cd19deeb412fa2ca78ea5e591800a71252916654bdd1e68c3198,BNB,BNB,18,0.2333418318582829,binancecoin,129.2200396464799,bsc
0x626b58f635b6bdc4ec1562c644a9fbe6659dd956932555945a0e210ad24d1242,0xDFd5293D8e347dFe59E90eFd55b2956a1343963d,Binance: Hot Wallet (0xDFd),false,0x734ef0fDeeDCF0afcbe4985afFbCF32c15e0B6c2,0x734ef0fDeeDCF0afcbe4985afFbCF32c15e0B6c2,false,0x6982508145454Ce325dDbE47a25d4ec3d2311933,,2026-06-28T16:12:11Z,25417273,0x8eee9ac5e14bcfc3e643d52c79637ad273e3b7e1de447d2003260bc0c9f7d1e0,Pepe,PEPE,18,2954226.69,pepe,7.0606017891,ethereum
0xcc9059ed8b1ece4c8555e58514312bbb81fcc450d5c8964fcd3f12f90b0802da,0x21a31Ee1afC51d94C2eFcCAa2092aD1028285549,Binance: Hot Wallet (0x21a),false,0x97b74384C2Fb4f893E86cd70A83f7Aa8Fc1ac18a,0x97b74384C2Fb4f893E86cd70A83f7Aa8Fc1ac18a,false,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,,2026-06-28T16:12:11Z,25417273,0x8eee9ac5e14bcfc3e643d52c79637ad273e3b7e1de447d2003260bc0c9f7d1e0,Aave Token,AAVE,18,12.68330231,aave,1130.4627348903,ethereum
0xd222330116026d0e39292235774a5b921e6c4d76f12ea67ac0da11e7af12b2b7,0xDFd5293D8e347dFe59E90eFd55b2956a1343963d,Binance: Hot Wallet (0xDFd),false,0x5d7372B2eD180BdD6e9C3844F4aeaFbb4b225f46,0x5d7372B2eD180BdD6e9C3844F4aeaFbb4b225f46,false,0xE41d2489571d322189246DaFA5ebDe1F4699F498,,2026-06-28T16:12:11Z,25417273,0x8eee9ac5e14bcfc3e643d52c79637ad273e3b7e1de447d2003260bc0c9f7d1e0,0x Protocol Token,ZRX,18,862.78146767,0x,70.44179292791715,ethereum
0xe0a787b6381b11e8683448b14c0eb8bb6a24b58ebaf4a2d2dca8b28c40f9c7e1,0xEe7aE85f2Fe2239E27D9c1E23fFFe168D63b4055,Binance: Hot Wallet (0xEe7),true,0x91de1f7E2a10B4e47e609750AB2b1cbd13abeF95,Bybit Deposit (0x91d),false,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,,2026-06-28T16:12:11Z,25417273,0x8eee9ac5e14bcfc3e643d52c79637ad273e3b7e1de447d2003260bc0c9f7d1e0,USD Coin,USDC,6,799.4,usd-coin,799.4,ethereum
0xf09bec18b3d246623cf862ced9795df4506c051e657e6eef3d1639a816c87100,0xEe7aE85f2Fe2239E27D9c1E23fFFe168D63b4055,Binance: Hot Wallet (0xEe7),true,0x41fd909b4616610192539FB408cA868500Dbc64e,0x41fd909b4616610192539FB408cA868500Dbc64e,false,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,,2026-06-28T16:12:09Z,47936891,0xc623781c40470a3b8ef565086e7bb99a37819a7d6764c688fe27c90322f9308b,USD Coin,USDC,6,16.8,usd-coin,16.8,base
2dbe72e2e079c139fca4d3e86fe3dcecbe571427b3fb80ac8674af2d2baeea93,TJqwA7SoZnERE4zW5uDEiPkbz4B66h9TFj,Binance: Hot Wallet (TJqwA),false,TUVRKCKYLCBjREVPudcVH4n74Dufi1wq3U,TUVRKCKYLCBjREVPudcVH4n74Dufi1wq3U,false,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,,2026-06-28T16:12:09Z,83997822,000000000501b47e1a98e0e5471136bb531f84d15e0042a864d48a82e8089c21,Tether USD,USDT,6,198,tether,198,tron
42da00e2acd42e46bc278322c05c6f1398a9b7ee61bd84024ace1c7170722936,TJDENsfBJs4RFETt1X1W8wMDc8M5XnJhCe,Binance: Hot Wallet (TJDEN),false,TF95QYsAdoCRMdNL8qjLzvznizZ69G1FGZ,TF95QYsAdoCRMdNL8qjLzvznizZ69G1FGZ,false,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,,2026-06-28T16:12:09Z,83997822,000000000501b47e1a98e0e5471136bb531f84d15e0042a864d48a82e8089c21,Tether USD,USDT,6,429.5,tether,429.5,tron
7df9128179aa64a9fca0c511d597b008acaf08fc57dc3bafd21e8ee3a86dc596,TAzsQ9Gx8eqFNFSKbeXrbi45CuVPHzA8wr,Binance: Hot Wallet (TAzsQ),false,TJd58FCvxHLz3rLvUajnexTg2XbS8uouHj,TJd58FCvxHLz3rLvUajnexTg2XbS8uouHj,false,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,,2026-06-28T16:12:09Z,83997822,000000000501b47e1a98e0e5471136bb531f84d15e0042a864d48a82e8089c21,Tether USD,USDT,6,33.5,tether,33.5,tron
8d30a831edea205c40a935e66ac556d7e9ce98192b039f6820ebeb25e50cd75a,TK4ykR48cQQoyFcZ5N4xZCbsBaHcg6n3gJ,Binance: Hot Wallet (TK4yk),false,TM4jRjAGRd6kn3NYU2beTUGKDqcu3yXPcb,TM4jRjAGRd6kn3NYU2beTUGKDqcu3yXPcb,false,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,,2026-06-28T16:12:09Z,83997822,000000000501b47e1a98e0e5471136bb531f84d15e0042a864d48a82e8089c21,Tether USD,USDT,6,49.5,tether,49.5,tron
92cace3ebf809d7861cb23fb25f138293907a0ab32e2ea5c0ca1f3454d372b56,TDqSquXBgUCLYvYC4XZgrprLK589dkhSCf,Binance: Hot Wallet (TDqSq),false,TPLJTdDtF21sE1rhXPGaKVcuWxoaoRvCec,TPLJTdDtF21sE1rhXPGaKVcuWxoaoRvCec,true,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,,2026-06-28T16:12:09Z,83997822,000000000501b47e1a98e0e5471136bb531f84d15e0042a864d48a82e8089c21,Tether USD,USDT,6,178.5,tether,178.5,tron
b8db5e16096b45c5c8405dd19bd5159fad74d69cd061f4fb8108ebb0cacf0196,TCLgK89AnXbC9rewvhNb9UgXCc2qJJpBXh,Binance: Hot Wallet (TCLgK),false,TB6NUJWLWExujZfhwsrf7KLNH6k6FR5Nnx,TB6NUJWLWExujZfhwsrf7KLNH6k6FR5Nnx,false,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,,2026-06-28T16:12:09Z,83997822,000000000501b47e1a98e0e5471136bb531f84d15e0042a864d48a82e8089c21,Tether USD,USDT,6,48.5,tether,48.5,tron
c6a0e3aa8b20f2a2f55ac54d44fbe9a92e3878e9e3bfe27f5f796fa74e9012bb,TDqSquXBgUCLYvYC4XZgrprLK589dkhSCf,Binance: Hot Wallet (TDqSq),false,TVEScC89Zh5gG9ZrJdTEujS85EqhSr3j1d,TVEScC89Zh5gG9ZrJdTEujS85EqhSr3j1d,false,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,,2026-06-28T16:12:09Z,83997822,000000000501b47e1a98e0e5471136bb531f84d15e0042a864d48a82e8089c21,Tether USD,USDT,6,29.563,tether,29.563,tron
cf05679a46969f0e79594acae497147db74d7b801dd5c093131e87cd081a7819,TCLgK89AnXbC9rewvhNb9UgXCc2qJJpBXh,Binance: Hot Wallet (TCLgK),false,TRVDxtsUdPugEpuWaaZTTzG3aJNzm989Fe,TRVDxtsUdPugEpuWaaZTTzG3aJNzm989Fe,false,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,,2026-06-28T16:12:09Z,83997822,000000000501b47e1a98e0e5471136bb531f84d15e0042a864d48a82e8089c21,Tether USD,USDT,6,33.5,tether,33.5,tron
fb95dcdcdeb4f865de090d6a208f935b79c716ff4c4c084fe7b4b307648fa12c,TJDENsfBJs4RFETt1X1W8wMDc8M5XnJhCe,Binance: Hot Wallet (TJDEN),false,TTmin3m74kdb4nc43QEdhSiJViik19zb4x,TTmin3m74kdb4nc43QEdhSiJViik19zb4x,false,,,2026-06-28T16:12:09Z,83997822,000000000501b47e1a98e0e5471136bb531f84d15e0042a864d48a82e8089c21,Tron,TRX,6,48.5,tron,15.6774795,tron